price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,graphics_quality
2049.0,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3060,0,2560x1600,32,Lenovo,High
549.79,Home / Personal,Windows 11,2.4,Intel Core i5,256,Intel Iris Graphics,0,1920x1080,8,Dell,Fair
799.99,Home / Personal,Windows 11,2.8,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,32,HP,Fair
1179.0,Gaming,Windows 11,2.5,Intel Core i5,1000,NVIDIA GeForce RTX 3050,0,1920x1080,32,Acer,Fair
895.0,Versatile,Windows 10,2.4,Intel Core i5,512,Intel Iris Graphics,1,2256x1504,16,Microsoft,Fair
809.0,Gaming,Windows 10,3.0,Intel Core i3,1000,Intel UHD Graphics,0,1366x768,12,Lenovo,Low
1099.0,Gaming,Windows 10,2.4,Intel Core i5,1000,Intel HD Graphics,1,1920x1028,32,HP,Low
869.99,Work / Business,Windows 11,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3060,0,3072x1920,32,Dell,High
1036.8,Home / Personal,Windows 10,3.0,Intel Core i3,128,Intel UHD Graphics,1,2736x1824,8,Microsoft,Low
3397.99,Gaming,Windows 11,2.5,Ryzen 9,1000,NVIDIA GeForce RTX 4090,0,2560x1440,32,ASUS,Very High
699.99,Work / Business,Windows 11,1.3,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,MSI,Fair
1699.99,Work / Business,Windows 11,2.6,Intel Core i5,4000,Intel Iris Graphics,0,,16,Dell,Fair
1699.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1859.0,Gaming,Windows 11,2.3,Intel Core i7,4000,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,High
1246.99,Work / Business,Windows 10,1.3,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,HP,Fair
1899.0,Gaming,Windows 11,2.3,Intel Core i7,4000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1899.0,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3070,0,2560x1600,64,Lenovo,High
569.79,Home / Personal,Windows 10,1.0,Intel Core i5,256,Intel UHD Graphics,1,1920x1080,8,Dell,Low
1459.0,Gaming,Windows 10,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,32,HP,Fair
1639.0,Gaming,Windows 11,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
799.99,Home / Personal,Windows 11,2.0,Ryzen 7,1000,AMD Radeon Graphics,0,1920x1080,16,ASUS,Fair
1099.99,Everyday Value,Windows 11,3.2,Ryzen 7,1000,NVIDIA GeForce RTX 3050,1,1920x1080,16,ASUS,Fair
779.0,Work / Business,Windows 11,1.3,Intel Core i5,256,Intel Iris Graphics,0,1920x1080,8,Lenovo,Fair
1599.99,Gaming,Windows 11,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,32,Lenovo,Fair
1399.99,Work / Business,Windows 11,1.6,Intel Core i5,2000,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
799.0,Home / Personal,Windows 11,2.3,Ryzen 5,2000,AMD Radeon Graphics,1,1920x1080,16,Dell,Fair
1003.78,Home / Personal,Windows 11,2.0,Ryzen 7,512,AMD Radeon Graphics,1,1920x1200,16,Lenovo,Fair
2259.0,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1429.0,Gaming,Windows 11,2.5,Intel Core i5,4000,NVIDIA GeForce RTX 3050,0,1920x1080,64,Acer,Fair
2899.99,Gaming,Windows 11,2.2,Intel Core i9,1000,NVIDIA GeForce RTX 4060,0,2560x1600,16,Razer,High
1139.99,Everyday Value,Windows 10,1.3,Intel Core i7,2000,Intel Iris Graphics,0,,16,ASUS,Fair
2496.9,Content Creation,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3070,0,3840x2160,16,MSI,High
1589.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1959.0,Gaming,Windows 11,2.3,Intel Core i7,4000,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,High
1659.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1200,32,ASUS,Fair
929.0,Content Creation,Windows 10,1.3,Intel Core i7,256,Intel Iris Graphics,1,2736x1824,16,Microsoft,Fair
1813.22,Content Creation,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,1,2560x1600,16,MSI,High
2281.29,Gaming,Windows 11,2.4,Intel Core i7,1000,NVIDIA GeForce RTX 4070,0,2560x1440,32,MSI,High
669.0,Gaming,Windows 10,2.5,Intel Core i5,256,NVIDIA GeForce GTX 1650,0,1920x1080,8,MSI,Fair
1259.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,Fair
1799.0,Gaming,Windows 11,2.6,Intel Core i9,1000,NVIDIA GeForce RTX 4070,0,2560x1440,32,MSI,High
1785.22,Gaming,Windows 11,2.5,Intel Core i9,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,MSI,High
2599.0,Gaming,Windows 11,2.5,Intel Core i9,1000,NVIDIA GeForce RTX 3080,0,2560x1440,32,MSI,High
1119.0,Home / Personal,Windows 10,3.0,Intel Core i7,512,Intel Iris Graphics,1,2256x1504,16,Microsoft,Fair
1452.99,Work / Business,Windows 10,2.5,Intel Core i5,512,Intel Iris Graphics,1,1920x1200,16,MSI,Fair
1029.99,Home / Personal,Windows 11,3.3,Ryzen 9,1000,AMD Radeon 680M,0,1920x1080,16,ASUS,Fair
1279.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,Fair
1599.99,Work / Business,Windows 10,3.0,Intel Core i7,512,Intel Iris Graphics,1,3840x2400,16,Lenovo,Fair
1295.99,Home / Personal,Windows 10,2.4,Intel Core i5,256,Intel Iris Graphics,1,2736x1824,8,Microsoft,Fair
1269.0,Gaming,Windows 10,2.4,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,16,HP,Fair
1349.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,Fair
964.99,Versatile,Windows 11,1.3,Intel Core i5,256,Intel Iris Graphics,1,2256x1504,8,Microsoft,Fair
