price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,Links,graphics_quality
1849.99,Work / Business,Windows 10,2.6,Intel Core i7,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,Lenovo,https://www.newegg.com/p/36B-000D-00BJ9?cm_sp=SH-_-1820178-_-8-_-2-_-9SIADG3HTP3533-_-laptop-_-laptop-_-1&Item=9SIADG3HTP3533,Medium
1125.0,Home / Personal,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3050,0,1920x1080,16,MSI,https://www.newegg.com/white-msi-sword15001-mainstream/p/1TS-0016-02VG0?Item=9SIAE4NGC81110,Medium
1149.99,Home / Personal,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3050,0,1920x1080,32,MSI,https://www.newegg.com/white-msi-sword15001-mainstream/p/1TS-0016-02VF4?Item=9SIAE4NGC81104,Medium
1699.97,Content Creation,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,3072x1920,16,Acer,https://www.newegg.com/black-acer-conceptd-cn516-72g-787y-creating-designing/p/N82E16834360089?Item=9SIA7U6JWR6475,High
1099.0,Gaming,Windows 10,2.0,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,HP,https://www.newegg.com/p/1TS-000D-1AN94?Item=9SIB6HNJWE3527,Medium
1459.0,Work / Business,Windows 11,1.3,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/1TS-000D-14NC7?Item=9SIB6HNJ9Z0704,Medium
1399.0,Home / Personal,Windows 11,2.8,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,32,HP,https://www.newegg.com/p/1TS-000D-1AMV1?Item=9SIAMRPJX10594,Medium
1029.0,Home / Personal,Windows 11,2.3,Ryzen 5,2000,AMD Radeon Graphics,0,1920x1080,32,Lenovo,https://www.newegg.com/p/1TS-000E-16EA2?Item=9SIBB6JJRR7782,Medium
1139.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,32,HP,https://www.newegg.com/silver-hp-probook-440-g9-work-business/p/1TS-000D-1CB72?Item=9SIAA0SJWK4551,Medium
1099.0,Work / Business,Windows 11,1.8,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,16,Dell,https://www.newegg.com/black-dell-latitude-7430-work-business/p/1TS-000A-0Y5R4?Item=9SIAE4NJV78035,Medium
1069.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,16,HP,https://www.newegg.com/silver-hp-probook-440-g9-work-business/p/1TS-000D-1CB68?Item=9SIAA0SJWK4547,Medium
1149.0,Gaming,Windows 11,4.3,Ryzen 5,512,NVIDIA GeForce RTX 4050,0,1920x1200,16,Acer,https://www.newegg.com/obsidian-black-acer-nitro-16-an16-41-r3zv-gaming/p/N82E16834360285?Item=9SIA24GK036531,Medium
1620.0,Gaming,Windows 11,3.2,Ryzen 7,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,ASUS,https://www.newegg.com/mecha-gray-asus-tuf-gaming-fa707rm-es73/p/N82E16834236184?Item=9SIBF2CJGD2144,High
1959.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3070,0,1920x1080,32,MSI,https://www.newegg.com/p/1TS-0016-04XS1?Item=9SIB6HNJN97905,High
1849.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,https://www.newegg.com/p/1TS-0016-04XP9?Item=9SIB6HNJN97893,High
1939.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,https://www.newegg.com/p/1TS-0016-04XR3?Item=9SIB6HNJN97897,High
1429.0,Home / Personal,Windows 11,2.8,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/1TS-000D-1AMU8?Item=9SIBMCUJVY2037,Medium
1519.0,Home / Personal,Windows 10,2.8,Intel Core i7,2000,Intel Iris Graphics,1,1920x1080,32,HP,https://www.newegg.com/p/1TS-000D-1AMU0?Item=9SIBMCUJVY2062,Medium
1419.0,Home / Personal,Windows 11,2.8,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/1TS-000D-1AMU1?Item=9SIBMCUJVY2041,Medium
1439.0,Home / Personal,Windows 10,2.8,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/1TS-000D-1AMT9?Item=9SIBMCUJVY2070,Medium
1389.0,Home / Personal,Windows 11,2.8,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,16,HP,https://www.newegg.com/p/1TS-000D-1AMT6?Item=9SIBMCUJVY2079,Medium
1519.0,Home / Personal,Windows 10,2.8,Intel Core i7,2000,Intel Iris Graphics,1,1920x1080,32,HP,https://www.newegg.com/p/1TS-000D-1AMT0?Item=9SIBMCUJVY2058,Medium
1979.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,MSI,https://www.newegg.com/p/1TS-0016-04WU7?Item=9SIB6HNJN00040,High
1979.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,https://www.newegg.com/p/1TS-0016-04W57?Item=9SIB6HNJMF3712,High
1499.0,Work / Business,Windows 11,2.2,Intel Core i7,512,Intel Iris Graphics,1,1920x1200,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-t16-gen-1-21bv0096us-work-business/p/N82E16834646846?Item=9SIA0ZXJG72420,Medium
1295.0,Gaming,Windows 10,2.6,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,Acer,https://www.newegg.com/abyss-black-acer-predator-helios-300-ph315-53-71hn-gaming-entertainment/p/N82E16834360092?Item=9SIAMRPJWJ8534,High
1049.99,Home / Personal,Windows 11,2.8,Ryzen 5,4000,AMD Radeon Graphics,0,1920x1080,8,Acer,https://www.newegg.com/silver-acer-aspire-3-mainstream/p/1TS-000X-05786?Item=9SIAA0SJWF2119,Medium
1139.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,32,Dell,https://www.newegg.com/black-dell-vostro-3520-work-business/p/1TS-000A-0YRF4?Item=9SIAA0SJWF2261,Medium
1069.99,Work / Business,Windows 11,1.7,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,16,Dell,https://www.newegg.com/black-dell-vostro-3520-work-business/p/1TS-000A-0YRF1?Item=9SIAA0SJWF2258,Medium
1499.0,Work / Business,Windows 11,2.1,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-l14-gen-3-21c1004nus-work-business/p/N82E16834646917?Item=9SIA24GJ5Z6323,Medium
1599.99,Work / Business,Windows 11,2.1,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-l14-gen-3-21c1004nus-work-business/p/N82E16834646917?Item=9SIA24GJ5Z6323,Medium
