price,type,link2,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,panel
"$1,639.99",,https://www.newegg.com/p/2WC-000C-0FU89?Item=9SIAWVGJV09315&cm_sp=SP-_-1898309-_-0-_-0-_-9SIAWVGJV09315-_-laptops-_-laptop-_-1,Windows 11 Home,13620H (2.40GHz),Intel Core i7 13th Gen,2 TB,,No,1920 x 1080,32GB,IPS
$269.99,Gaming,https://www.newegg.com/black-hasee-z8-gaming/p/2WC-004U-00037?Item=9SIBDT0JEC8108,Windows 11 Home,11800H (2.30GHz),Intel Core i7 11th Gen,512 GB PCIe,NVIDIA GEFORCE RTX 3060 LAPTOP GPU,,1920 x 1080,16GB DDR4 Dual Channel,IPS
$929.99,Gaming,https://www.newegg.com/black-hasee-t8-gaming/p/2WC-004U-00035?Item=9SIBDT0JCD0893,Windows 11 Home,12450H (2.00GHz),Intel Core i5 12th Gen,512 GB PCIe,NVIDIA GEFORCE RTX 3060,,1920 x 1200,16GB DDR4 Dual Channel,IPS
"$1,649.99",,https://www.newegg.com/p/2WC-000N-0DT65?Item=9SIAWVGJY80323&cm_sp=SP-_-2065788-_-0-_-2-_-9SIAWVGJY80323-_-laptops-_-laptop-_-4,Windows 11 Home,13650HX (2.60GHz),Intel Core i7 13th Gen,1 TB,,No,1920 x 1200,32GB,
$999.00,Gaming,https://www.newegg.com/p/N82E16834156431?Item=N82E16834156431,Windows 11 Home 64-bit,12450H (2.00GHz),Intel Core i5 12th Gen,1 TB NVMe,NVIDIA GeForce RTX 4060 Laptop GPU,No,1920 x 1080,16 GB DDR5,IPS
"$1,399.99",Gaming,https://www.newegg.com/mecha-gray-asus-tuf-gaming-f17-fa707xi-ns94/p/N82E16834236430?Item=N82E16834236430,Windows 11 Home 64-bit,7940HS (4.00GHz),AMD Ryzen 9 7000 Series,1 TB PCIe,"NVIDIA GeForce RTX 4070 Laptop GPU2225MHz* at140W (2175MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)",No,1920 x 1080,16 GB DDR5,IPS
"$1,799.00",Gaming,https://www.newegg.com/p/N82E16834156425?Item=N82E16834156425,Windows 11 Home 64-bit,13900H (2.60GHz),Intel Core i9 13th Gen,1 TB NVMe,NVIDIA GeForce RTX 4070 Laptop GPU,No,2560 x 1440,32 GB DDR5,
"$1,299.00",,https://www.newegg.com/p/2WC-0065-00005?Item=9SIB9RSH4B9755,Windows 11 Home,12500H (2.50GHz),Intel Core i5 12th Gen,512 GB,NVIDIA GeForce RTX 3050 Laptop GPU,No,1920 x 1080,16GB DDR4,IPS
$269.99,Gaming,https://www.newegg.com/black-hasee-z8-gaming/p/2WC-004U-00037?Item=9SIBDT0JEC8108&cm_sp=SP-_-1729114-_-0-_-2-_-9SIBDT0JEC8108-_-laptops-_-laptop-_-9,Windows 11 Home,11800H (2.30GHz),Intel Core i7 11th Gen,512 GB PCIe,NVIDIA GEFORCE RTX 3060 LAPTOP GPU,,1920 x 1080,16GB DDR4 Dual Channel,IPS
$539.99,Gaming,https://www.newegg.com/p/N82E16834156469?Item=N82E16834156469,Windows 11 Home 64-bit,7535HS (3.30GHz),AMD Ryzen 5 7000 Series,512 GB PCIe,NVIDIA GeForce RTX 4050 Laptop GPU,No,1920 x 1080,8 GB DDR5,IPS
$539.99,Gaming,https://www.newegg.com/black-msi-gf-series-thin-gf63-12ve-068us-gaming/p/N82E16834156429?Item=N82E16834156429,Windows 11 Home 64-bit,12450H (2.00GHz),Intel Core i5 12th Gen,512 GB NVMe,NVIDIA GeForce RTX 4050 Laptop GPU,No,1920 x 1080,16 GB DDR4,IPS
"$1,999.99",,https://www.newegg.com/p/2WC-000N-0DT79?Item=9SIAWVGJY81542&cm_sp=SP-_-2065769-_-0-_-2-_-9SIAWVGJY81542-_-laptops-_-laptop-_-12,Windows 11 Home,12900H (2.50GHz),Intel Core i9 12th Gen,1 TB,,No,2560 x 1440,32GB,IPS
"$5,299.00",Gaming,https://www.newegg.com/core-black-msi-gt-series-titan-gt77hx-13vi-042us/p/N82E16834156421?Item=N82E16834156421,Windows 11 Pro 64-bit,13980HX (2.20GHz),Intel Core i9 13th Gen,4 TB NVMe( 2TB x 2),NVIDIA GeForce RTX 4090 Laptop GPU,No,3840 x 2160,128 GB DDR5,IPS
"$1,463.00",,https://www.newegg.com/p/2WC-000N-0DMG1?Item=9SIAWVGJX93911&cm_sp=SP-_-2009079-_-0-_-2-_-9SIAWVGJX93911-_-laptops-_-laptop-_-14,Windows 11 Home,5800HS (2.80GHz),AMD Ryzen 7 7000 Series,2 TB,,No,1920 x 1080,40GB,
"$1,769.39",Gaming,https://www.newegg.com/p/N82E16834156536?Item=9SIA24GK207026,Windows 11 Pro 64-bit,13620H (2.40GHz),Intel Core i7 13th Gen,1 TB PCIe,NVIDIA GeForce RTX 4070 Laptop GPU,No,1920 x 1080,32 GB DDR5,IPS
$539.99,Gaming,https://www.newegg.com/black-msi-gf-series-katana-gf76-12ud-005-gaming/p/N82E16834156513?Item=9SIAJA2K2E7431,Windows 11 Home 64-bit,12700H (2.30GHz),Intel Core i7 12th Gen,512 GB PCIe,NVIDIA GeForce RTX 3050 Ti Laptop GPU,No,1920 x 1080,16 GB DDR4,IPS
"$1,699.99",,https://www.newegg.com/p/2WC-005B-00004?Item=9SIAZEBJYJ2232&cm_sp=SP-_-1304164-_-0-_-2-_-9SIAZEBJYJ2232-_-laptops-_-laptop-_-17,Windows 11 Home,12700H (2.30GHz),Intel Core i7 12th Gen,512 GB PCIe,,No,,16GB,
"$2,599.00",Gaming,https://www.newegg.com/p/N82E16834156395?Item=N82E16834156395,Windows 11 Home,12900H (2.50GHz),Intel Core i9 12th Gen,1 TB NVMe SSD,NVIDIA GeForce RTX 3080 Ti Laptop GPU,No,2560 x 1440,32 GB DDR5,
"$1,199.99",Gaming,https://www.newegg.com/black-hasee-t8-gaming/p/2WC-004U-00036?Item=9SIBDT0JD50217&cm_sp=SP-_-1381144-_-0-_-2-_-9SIBDT0JD50217-_-laptops-_-laptop-_-19,Windows 11 Home,12900H (2.50GHz),Intel Core i9 12th Gen,1 TB PCIe,NVIDIA GEFORCE RTX 3060,,2560 x 1600 (2.5K),16GB DDR4 Dual Channel,IPS
"$1,749.99",Gaming,https://www.newegg.com/black-hasee-tx-gaming/p/2WC-004U-00041?Item=9SIBDT0JSS0307&cm_sp=SP-_-1808772-_-0-_-2-_-9SIBDT0JSS0307-_-laptops-_-laptop-_-20,Windows 11 Home,13900HX (2.20GHz),Intel Core i9 13th Gen,1 TB PCIe,NVIDIA GEFORCE RTX 4070 LAPTOP GPU,,2560 x 1600,32GB DDR5,IPS
"$1,788.57",Gaming,https://www.newegg.com/sparkly-silver-acer-predator-triton-300-pt316-51s-7397-gaming/p/N82E16834360226?Item=9SIA24GJTW4693,Windows 11 Home,12700H (2.30GHz),Intel Core i7 12th Gen,512 GB NVMe,NVIDIA GeForce RTX 3060 Laptop GPU,No,2560 x 1600,16 GB DDR5,IPS
"$1,749.99",Gaming,https://www.newegg.com/obsidian-black-acer-nitro-16-an16-41-r1we-gaming/p/N82E16834360270?Item=9SIA24GK1P0544,Windows 11 Home 64-bit,7940HS (4.00GHz),AMD Ryzen 9 7000 Series,1 TB PCIe,NVIDIA GeForce RTX 4070 Laptop GPU (MGP 140W),No,2560 x 1600,16 GB DDR5,IPS
$999.99,Gaming,https://www.newegg.com/obsidian-black-acer-nitro-5-an515-46-r5xn-gaming/p/N82E16834360253?Item=N82E16834360253,Windows 11 Home 64-bit,6800H (3.20GHz),AMD Ryzen 7 6000 Series,1 TB PCIe,NVIDIA GeForce RTX 3070 Ti Laptop GPU,No,2560 x 1440,16 GB DDR5,IPS
"$1,562.42",Gaming,https://www.newegg.com/p/N82E16834156537?Item=9SIA24GK207025,Windows 11 Pro 64-bit,13620H (2.40GHz),Intel Core i7 13th Gen,1 TB PCIe,NVIDIA GeForce RTX 4060 Laptop GPU,No,1920 x 1080,32 GB DDR5,IPS
