Product_title,Brand,Links
"MSI Cyborg Gaming Laptop, 15.6"" IPS FHD 144Hz Display, Intel Core i7-13620H Processor, 32GB DDR5 RAM, 2TB SSD, NVIDIA GeForce RTX 4050 Graphics, Wi-Fi 6, Bluetooth, Backlit Keyboard, Windows 11 Home",MSI,https://www.newegg.com/p/2WC-000C-0FU89?Item=9SIAWVGJV09315&cm_sp=SP-_-1898309-_-0-_-0-_-9SIAWVGJV09315-_-laptops-_-laptop-_-1
"Hasee Z8 (15.6'', i7-11800H, RTX3060), Gaming Laptop, i7-11800H 4.6GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF, BT, Win11, Ore Black",Hasee,https://www.newegg.com/black-hasee-z8-gaming/p/2WC-004U-00037?Item=9SIBDT0JEC8108
"Hasee T8 (16'', i5-12450H, RTX3060), Gaming Laptop, i5-12450H 4.4GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 16'' 165Hz FHD+ IPS Display, RGB KB, WiFi6, BT5.2, Win11, Obsidian Black",Hasee,https://www.newegg.com/black-hasee-t8-gaming/p/2WC-004U-00035?Item=9SIBDT0JCD0893
"ASUS ROG Strix G16 Gaming Laptop, 16"" 165Hz Display, Intel Core i7-13650HX Processor (14 core), NVIDIA GeForce RTX 4060, 32GB DDR5 RAM, 1TB SSD, Wi-Fi 6E, Backlit Keyboard, Windows 11 Home",ASUS,https://www.newegg.com/p/2WC-000N-0DT65?Item=9SIAWVGJY80323&cm_sp=SP-_-2065788-_-0-_-2-_-9SIAWVGJY80323-_-laptops-_-laptop-_-4
"MSI Katana 15 B12VFK-265US 15.6"" 144 Hz IPS Intel Core i5 12th Gen 12450H (2.00GHz) NVIDIA GeForce RTX 4060 Laptop GPU 16GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",MSI,https://www.newegg.com/p/N82E16834156431?Item=N82E16834156431
"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707XI-NS94",ASUS,https://www.newegg.com/mecha-gray-asus-tuf-gaming-f17-fa707xi-ns94/p/N82E16834236430?Item=N82E16834236430
"MSI Pulse 15 B13VGK-287US 15.6"" 165 Hz Intel Core i9 13th Gen 13900H (2.60GHz) NVIDIA GeForce RTX 4070 Laptop GPU 32GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",MSI,https://www.newegg.com/p/N82E16834156425?Item=N82E16834156425
"Colorful Gaming Laptop, 15.6"" 144Hz, Intel 12th Gen Core i5 12500H, NVIDIA GeForce RTX 3050 Laptop, 16GB DDR4 Dual Channels Expand to 64GB Memory, 512GB SSD, Thunderbolt 4 Interface, Windows 11 Home",Colorful,https://www.newegg.com/p/2WC-0065-00005?Item=9SIB9RSH4B9755
"Hasee Z8 (15.6'', i7-11800H, RTX3060), Gaming Laptop, i7-11800H 4.6GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF, BT, Win11, Ore Black",Hasee,https://www.newegg.com/black-hasee-z8-gaming/p/2WC-004U-00037?Item=9SIBDT0JEC8108&cm_sp=SP-_-1729114-_-0-_-2-_-9SIBDT0JEC8108-_-laptops-_-laptop-_-9
"MSI Bravo 15 C7VE-010US 15.6"" 144 Hz IPS AMD Ryzen 5 7000 Series 7535HS (3.30GHz) NVIDIA GeForce RTX 4050 Laptop GPU 8GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",MSI,https://www.newegg.com/p/N82E16834156469?Item=N82E16834156469
